,Last__Name,First__Name,BirthDate,PassengerDocument
56,EGOROV,ARTEMII,1992-11-20,8464 971792
57,SCHERBAKOV,GEORGII,1994-12-30,8195 646006
58,SUKHAREV,EVGENII,1971-06-01,7515 519887
59,POTAPOV,DANIL,1997-03-12,1274 540059
60,PANOV,VLAD,1973-06-15,7000 128224
61,GOLOVIN,BOGDAN,1970-02-10,7930 174831
62,SHESTAKOV,MARSEL,1973-06-20,6618 288723
63,SEVASTIANOV,BOGDAN,1999-06-24,8543 374179
64,BLINOV,TIKHON,1993-12-25,8253 538980
65,AGEEV,VADIM,1976-09-28,7521 463824
66,NIKULIN,VLAD,1989-10-25,2192 841339
67,SKVORTSOV,KONSTANTIN,1995-04-09,3272 440167
68,GREKOV,STEPAN,2000-04-22,5236 590682
69,ZAKHAROV,BOGDAN,1978-01-24,2125 387637
70,SHCHEGLOV,KIRILL,1993-12-03,5188 472138
71,SAKHAROV,TAMERLAN,1980-01-01,3187 333204
72,ZORIN,KONSTANTIN,1995-12-28,9966 295202
73,LAPIN,IVAN,1989-05-03,7829 258456
74,GORDEEV,VASILII,1976-01-02,0241 175441
75,FOMICHEV,GORDEI,1970-10-14,2330 009693
76,SHIROKOV,EDUARD,1993-04-19,2119 816401
77,KOMAROV,MARSEL,1978-03-05,0656 297493
78,LOPATIN,ZAKHAR,1989-11-06,9410 671600
79,DEGTIAREV,ARTUR,1995-09-25,5387 277564
80,GULIAEV,MARSEL,1995-04-30,8026 034031
81,LEVIN,BORIS,1981-06-24,8135 923864
82,ULIANOV,EMIL,1986-12-27,9552 007506
83,SAKHAROV,ARTEM,1973-08-30,7450 708461
84,SHCHUKIN,MIKHAIL,1970-03-06,8322 202038
85,FETISOV,SAVELII,1985-11-27,0253 873254
86,SUVOROV,PETR,1974-01-23,0604 308245
87,KRIUCHKOV,EDUARD,1977-01-24,2596 336394
88,SITNIKOV,VITALII,1998-09-24,0107 597216
89,DAVYDOV,EMIL,1976-08-25,0288 516264
90,TIKHONOV,GLEB,1985-11-18,7448 534723
91,SAVELEV,ELISEI,1981-10-16,2001 432309
92,CHERNYSHEV,RAMIL,2000-07-09,0350 995144
93,LATYSHEV,IURII,1995-09-19,8004 639431
94,ABRAMOV,GRIGORII,1976-06-04,2594 839579
95,CHEREPANOV,TIKHON,1976-02-09,9578 056404
96,GRISHIN,RODION,1998-06-25,1388 659526
97,SUKHAREV,FILIPP,1997-05-09,1031 528914
98,LATYSHEV,VIACHESLAV,1980-09-07,8875 153167
99,SHCHEGLOV,ROSTISLAV,1989-10-23,3187 024041
100,BESPALOV,VIACHESLAV,1970-02-25,4532 990156
101,SEMIN,VADIM,1978-07-17,5417 879277
102,OREKHOV,ARTUR,1999-01-16,8431 307319
103,TIKHONOV,DAVID,1982-10-01,5944 234745
104,KHUDIAKOV,SAMIR,1974-02-06,9959 421233
105,FOMICHEV,ADEL,1992-03-19,4808 932846
106,GORDEEV,VITALII,1993-12-21,0037 237975
107,MESHCHERIAKOV,ARTUR,1993-04-06,1936 858977
108,ZOLOTOV,IVAN,1983-05-21,7406 652084
109,EZHOV,VSEVOLOD,1998-07-11,7116 771278
