,Last__Name,First__Name,PassengerMiddleName,BirthDate,Passenger_Sex,FamilyStatus,TravelDoc,TicketNumber,NumberFlight,BookingCode,TravelClass,Fare,DepartDate,DepartureTime,DepartureCountry,DepartureCity,AirportDeparture,ArrivalDate,ArrivalTime,ArrivalCountry,CityArrival,ArrivalAirport,bonusprogramm,NickName,Status,ProgrammNumber,Meal,Baggage_right_y,Baggage_left,activity_type,CardsType,Dep_Time,Arr_Time,Aircraft,Travel_Time,airport_from,airport_to,Flag
1410,ANTIPOV,MAKAR,RUSTAMOVICH,,,MR,7307 009805,9870223557715648.0,SU1109,WUMMYH,Y,YGRPMO,2017-04-15,07:30,,KRASNODAR,KRR,2017-04-15,09:55,,MOSCOW,SVO,,,,, ,0PC,,,,,,,,,,True
1671,ARTEMOV,AMIR,ELISEEVICH,1974-05-31 00:00:00,Male,MR,4444 544964,1322375499479191.0,SU4599,JGGTGO,Y,YFLXMG,2017-05-20,09:00,,KHABAROVSK,KHV,2017-05-20,12:15,,Nogliki,NGK,,,,, ,1PC,Registered,,,,,,,,,True
1762,ARTEMOVA,MILENA,PAVLOVNA,1973-08-04,,MRS,0724 809528,1396135404380857.0,SU1487,CFGSZX,Y,YGRPND,2017-01-01,21:35, Russian Federation,KRASNOYARSK,KJA,2017-01-01,22:40, Russian Federation,MOSCOW,SVO,,,,, ,1PC,,,,21:35,22:40,EQV,5H5M,KJA,SV,True
1823,ASTAFEVA,OLGA,RODIONOVNA,05/20/1999,Female,MRS,8513 272336,4444242265511312.0,SU6184,AZQNVD,Y,YRSTHR,2017-06-02,12:45,,ROSTOV,ROV,2017-06-02,14:55,,Moscow,SVO,,,,, ,1PC,Transit,,,,,,,,,True
1866,ASTAHOV,LEONID,ALBERTOVICH,1987-05-09,,MR,2993 345459,6021210004822455.0,SU4602,NKECYB,Y,YFLXDX,2017-02-22,13:10,,KOMSOMOLSK,KXK,2017-02-22,15:10,,VLADIVOSTOK,VVO,,,,, ,1PC,,,,,,,,,,True
1940,ASTAHOVA,VIOLETTA,ALEKSEEVNA,,Female,MRS,8563 156989,9992461046205564.0,SU1503,XHCIZX,Y,YGRPDB,2017-02-23,04:25,Russian Federation,TYUMEN,TJM,2017-02-23,05:25,Russian Federation,MOSCOW,SVO,,FrequentFlyer43141,Elite+,KE 106157685, ,1PC,,,,,,,,,,True
2003,AVDEEVA,KSENIIA,PAVLOVNA,1971-01-25,,MRS,3088 261782,6567416156115452.0,SU1414,JGPXDM,Y,YFLXTF,2017-04-30,16:35,,MOSCOW,SVO,2017-04-30,21:10,,YEKATERINBURG,SVX,,,,, ,0PC,,,,,,,,,,True
2078,BABUSHKINA,MARINA,ARTUROVNA,,,MRS,3628 326924,4895960081165318.0,SU1249,GHFPWR,P,PSTNFJ,2017-06-18,19:50,,ORENBURG,REN,2017-06-18,20:15,,MOSCOW,SVO,Delta SkyMiles,,,DT 723754135, ,0PC,,Flight,Airlines,,,,,,,True
2338,BASHIROV,KONSTANTIN,VASILEVICH,1991-03-15,,MR,4930 119353,4937204000219037.0,SU1174,JIIEXH,J,JSTNJN,2017-05-09,14:20,,MOSCOW,SVO,2017-05-09,17:50,,ASTRAKHAN,ASF,,,,, ,0PC,,,,,,,,,,True
2348,BASHIROV,VALERII,DANIELEVICH,,,MR,3831 519391,1526805257618935.0,SU1530,ZJGVEB,Y,YFLXFU,2017-01-22,21:25,,MOSCOW,SVO,2017-01-23,05:45,,TOMSK,TOF,,,,, ,1PC,,,,,,,,,,True
2350,BASHIROV,VALERII,DANIELEVICH,,,MR,3831 519391,4158586260928975.0,SU1531,AXACTU,A,AFLXTB,2017-01-24,07:55,,TOMSK,TOF,2017-01-24,08:20,,MOSCOW,SVO,,,,,DNML,0PC,,,,,,,,,,True
2568,BELIAEVA,IANA,GLEBOVNA,1990-05-21,,MRS,3024 401340,2700788427328866.0,SU1363,TMWFFL,Y,YGRPAS,2017-01-24,20:35,,SARATOV,RTW,2017-01-24,21:15,,MOSCOW,SVO,,,,,VLML,2PC,,,,,,,,,,True
2841,BELKINA,EVA,RUSLANOVNA,,Female,MRS,3269 190587,6195183668126754.0,SU1481,EGBRUQ,Y,YSTNKO,2017-08-26,06:40,Russian Federation,KRASNOYARSK,KJA,2017-08-26,07:45,Russian Federation,MOSCOW,SVO,Aeroflot Bonus,FrequentFlyer97776,Basic,SU 143822804, ,1PC,,Flight,Airlines,,,,,,,True
2937,BELOV,ANTON,SERGEEVICH,,,,6578 049952,4878302336553201.0,SU5621,TXUISV,Y,YRSTZS,2017-12-13,08:05, Russian Federation,Yuzhno,UUS,2017-12-13,08:50, Russian Federation,Khabarovsk ,KHV,,,,,FPML,2PC,,,,08:05,08:50,DH4,0H45M,UU,KH,True
3106,BESPALOV,VIKTOR,ANATOLEVICH,,,MR,2097 764887,5129668699199485.0,SU1769,EROXNY,J,JRSTSM,2017-03-07,19:25,,PERM,PEE,2017-03-07,19:35,,MOSCOW,SVO,,,,,FPML,2PC,,,,,,,,,,True
3234,BESSONOVA,OLESIA,ALEKSEEVNA,1984-03-03 00:00:00,Female,MRS,9711 153927,9421938311266490.0,SU5607,AKVYPW,Y,YSTNCF,2017-03-05,16:25,,YUZHNO,UUS,2017-03-05,17:15,,Vladivostok,VVO,,,,,NLML,1PC,Transit,,,,,,,,,True
3590,BOBROVA,VARVARA,ANDREEVNA,,,MRS,33 4940892,9756659470566860.0,SU5613,TLQCLC,A,AGRPZH,2017-01-13,15:50,,MAGADAN,GDX,2017-01-13,17:30,,KHABAROVSK,KHV,,,,, ,0PC,,,,,,,,,,True
3703,BOGDANOVA,ARIANA,MIHAILOVNA,1975-05-21,,,5081 557637,9370859943906624.0,SU1433,ICNZGY,Y,YRSTPL,2017-07-04,19:55, Russian Federation,Barnaul,BAX,2017-07-04,20:25, Russian Federation,Moscow ,SVO,,,,,STML,1PC,,,,19:55,20:25,32A,3H30M,BAX,SV,True
4097,BORISOVA,TAMARA,ALEKSANDROVNA,,,MRS,4846 863604,4813317693105793.0,SU1163,OUNRSI,Y,YRSTKH,2017-12-17,11:35,,ROSTOV,ROV,2017-12-17,13:40,,MOSCOW,SVO,,,,,LCML,0PC,,,,,,,,,,True
4133,BORODINA,ALINA,TIMUROVNA,,,,02 0354351,935596055306886.0,SU6288,UPYCVB,Y,YFLXGV,2017-07-14,11:30, Russian Federation,Khabarovsk ,KHV,2017-07-14,12:40, Russian Federation,Moscow ,SVO,,,,, ,1PC,,,,11:30,12:40,EQV,8H10M,KHV,SV,True
4184,BULATOV,ALEKSEI,MIRONOVICH,,,MR,8794 062162,7394098854979778.0,SU1167,KTUIWP,Y,YRSTWY,2017-01-03,05:00,,ROSTOV,ROV,2017-01-03,07:05,,MOSCOW,SVO,,,,, ,2PC,,,,,,,,,,True
4236,BULATOVA,SNEZHANA,IANOVNA,1974-08-24 00:00:00,Female,MRS,3608 896201,3700544075772028.0,SU1392,MGKRGI,Y,YGRPUL,2017-04-01,11:50,Russian Federation,MOSCOW,SVO,2017-04-01,16:00,Russian Federation,Perm,PEE,,FrequentFlyer14288,Elite+,SU 241717850, ,0PC,Delayed,,,,,,,,,True
4339,BUROV,GRIGORII,SAVVOVICH,,,MR,6708 261266,6640329858438845.0,SU5684,MPYPOJ,Y,YSTNEW,2017-01-05,10:30,,KHABAROVSK,KHV,2017-01-05,15:15,,PETROPAVLOVSK,PKC,,,,,LCML,2PC,,,,,,,,,,True
4407,BUROVA,SAMIRA,ROBERTOVNA,,,MRS,2100 948620,1831333886656884.8,SU1172,CRGJDH,J,JFLXCG,2017-04-10,21:25,,MOSCOW,SVO,2017-04-11,00:50,,ASTRAKHAN,ASF,,,,, ,0PC,,,,,,,,,,True
4568,BYKOVA,MILENA,ARSENEVNA,1979-11-16 00:00:00,Female,MRS,5108 636555,7781409071346366.0,SU1180,DHYPIJ,Y,YGRPKG,2017-02-14,22:10,,MOSCOW,SVO,2017-02-15,01:05,,Volgograd,VOG,,,,,STML,2PC,Registered,,,,,,,,,True
4610,CHEBOTAREV,GRIGORII,ROMANOVICH,1970-11-30,,,4665 454549,3078844006947378.0,SU5621,GWGQXL,Y,YSTNNV,2017-02-28,08:05, Russian Federation,Yuzhno,UUS,2017-02-28,08:50, Russian Federation,Khabarovsk ,KHV,,,,, ,0PC,,,,08:05,08:50,DH4,0H45M,UU,KH,True
4643,CHEBOTAREVA,ANGELINA,MIRONOVNA,1998-01-29,,MRS,3738 059327,7353298220534813.0,SU1459,HIODIF,Y,YGRPVM,2017-01-02,08:05,,NOVOKUZNETSK,NOZ,2017-01-02,08:45,,MOSCOW,SVO,,,,, ,0PC,,,,,,,,,,True
4764,CHEREPANOVA,VARVARA,IUREVNA,1974-08-31,,MRS,0284 669278,2685076161774646.0,SU1214,PRSZPS,Y,YFLXAU,2017-01-21,16:40,Russian Federation,MOSCOW,SVO,2017-01-21,19:35,Russian Federation,SAMARA,KUF,Korean Air SKYPASS,FrequentFlyer44629,Elite,KE 488319543,LCML,1PC,,Flight,Airlines,,,,,,,True
4908,CHERNIAEV,SEMEN,SVIATOSLAVOVICH,1973-12-08,,MR,3579 663803,1160888681339258.0,SU1003,KZCYPL,Y,YFLXCX,2017-08-01,12:45,,KALININGRAD,KGD,2017-08-01,15:35,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
5091,CHERNYH,STEPAN,VASILEVICH,1970-04-22,,MR,4439 736868,9050052383689804.0,SU1438,NDZPOR,J,JRSTEJ,2017-05-03,08:10,,MOSCOW,SVO,2017-05-03,12:25,,UFA,UFA,,,,, ,0PC,,,,,,,,,,True
5168,CHERNYSHEVA,STEFANIIA,AMIROVNA,,,MRS,8863 420769,25773209485263.0,SU1232,SLSLRE,Y,YSTNCN,2017-05-01,13:10,,MOSCOW,SVO,2017-05-01,17:15,,UFA,UFA,,,,, ,1PC,,,,,,,,,,True
5334,CHIZHOV,SAVVA,MIHAILOVICH,1991-11-07 00:00:00,Male,,9214 227284,9126396861885920.0,SU1231,WEKSTI,Y,YGRPHA,2017-08-05,12:30, Russian Federation,Ufa,UFA,2017-08-05,12:45, Russian Federation,Moscow,SVO,,,,,LCML,1PC,None,,,12:30,12:45,32A,2H15M,UF,SV,True
5353,CHIZHOVA,ANTONINA,MIHAILOVNA,1976-09-14,,MRS,5251 044482,5675020790584172.0,SU1134,GSNPKB,Y,YRSTWB,2017-03-18,09:30,,MOSCOW,SVO,2017-03-18,12:10,,SOCHI,AER,Flying Blue,,,FB 436511464,ORML,0PC,,Flight,Airlines,,,,,,,True
5429,CHUMAKOV,VLADISLAV,IGNATOVICH,,,MR,8678 628805,7983389489150427.0,SU1521,HCEHQN,Y,YRSTMY,2017-10-27,17:20,,NOVYJ URENGOJ,NUX,2017-10-27,19:05,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
5539,DAVYDOV,KIRILL,DENISOVICH,,,,6981 423416,7113327110230828.0,SU1603,PKOFTF,P,PSTNZP,2017-11-24,10:50, Russian Federation,Samara ,KUF,2017-11-24,11:40, Russian Federation,Moscow ,SVO,,,,, ,1PC,,,,10:50,11:40,EQV,1H50M,KU,SV,True
5651,DEGTIAREVA,ELINA,ALEKSEEVNA,,,MRS,4851 311490,9893794697369048.0,SU1391,JBTGEY,Y,YFLXDA,2017-02-01,10:45,,SYKTYVKAR,SCW,2017-02-01,12:40,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
5895,DEMIN,VSEVOLOD,DANIILOVICH,,,MR,4160 588242,7556594595889171.0,SU1142,VWACAX,Y,YFLXNB,2017-03-02,13:45,,MOSCOW,SVO,2017-03-02,16:05,,ANAPA,AAQ,,,,, ,1PC,,,,,,,,,,True
5967,DENISOVA,ELENA,RADMIROVNA,1984-09-13,,MRS,3183 269127,3381829976164196.0,SU1196,DQFDRN,Y,YFLXNU,2017-06-02,22:50,,MOSCOW,SVO,2017-06-03,00:25,,KAZAN,KZN,,,,, ,1PC,,,,,,,,,,True
6029,DIAKONOV,KONSTANTIN,PAVLOVICH,1980-08-31,,MR,2923 976792,7798000095117637.0,SU1320,RRXLWQ,J,JSTNFX,2017-03-20,08:40,,MOSCOW,SVO,2017-03-20,11:10,,MURMANSK,MMK,,,,, ,0PC,,,,,,,,,,True
6056,DIAKONOVA,ELINA,AIDAROVNA,1989-07-20,,MRS,3645 202402,3214024222167197.0,SU1392,VOFNZG,Y,YGRPPS,2017-03-07,11:50,,MOSCOW,SVO,2017-03-07,16:00,,PERM,PEE,,,,, ,1PC,,,,,,,,,,True
6119,DIAKOV,VADIM,RUSTAMOVICH,,,,3447 325463,729519826608074.0,SU1213,RWNVHE,Y,YGRPBB,2017-12-22,18:05, Russian Federation,Samara ,KUF,2017-12-22,19:05, Russian Federation,Moscow ,SVO,,,,, ,2PC,,,,18:05,19:05,32A,2H0M,KU,SV,True
6315,DOBRYNINA,VLADA,SVIATOSLAVOVNA,05/21/1982,Female,MRS,7094 804307,8956969242207542.0,SU1404,DJHVDO,Y,YRSTOK,2017-04-25,15:05,,MOSCOW,SVO,2017-04-25,19:25,,Yekaterinburg,SVX,,,,,VLML,1PC,Delayed,,,,,,,,,True
6346,DOLGOV,MARK,RODIONOVICH,,,MR,0287 116765,7759771156399970.0,SU1420,GTAVCA,Y,YRSTUX,2017-03-05,06:30,,MOSCOW,SVO,2017-03-05,11:00,,CHELYABINSK,CEK,,,,, ,1PC,,,,,,,,,,True
6548,DROZDOV,ALBERT,MIRONOVICH,,,MR,3469 553403,2745741255583371.0,SU5603,ENTIUK,J,JRSTNG,2017-05-27,08:00,,KHABAROVSK,KHV,2017-05-27,09:20,,VLADIVOSTOK,VVO,,,,,DNML,1PC,,,,,,,,,,True
6840,DUBOV,VLADIMIR,ZAHAROVICH,,,,3721 556611,628647611827599.0,SU1435,YLQIIM,Y,YFLXCO,2017-01-31,13:15, Russian Federation,Magnitogorsk,MQF,2017-01-31,13:55, Russian Federation,Moscow ,SVO,,,,, ,0PC,,,,13:15,13:55,SU9,2H40M,MQF,SV,True
6914,DUBROVINA,GALINA,VIACHESLAVOVNA,,,,8301 354283,3021253381749291.0,SU1001,MBGNQX,Y,YGRPAZ,2017-08-16,09:15, Russian Federation,Kaliningrad ,KGD,2017-08-16,12:10, Russian Federation,Moscow ,SVO,,,,, ,1PC,,,,09:15,12:10,32A,1H55M,KGD,SV,True
6940,EFIMOV,ALBERT,DAMIROVICH,1991-03-22,,MR,7402 088713,8660904240305390.0,SU5628,CXCDOG,Y,YRSTNI,2017-11-25,14:00, Russian Federation,KHABAROVSK,KHV,2017-11-25,16:20, Russian Federation,YUZHNO,UUS,,,,,KSML,1PC,,,,14:00,16:20,319,2H20M,KHV,UUS,True
7342,EMELIANOV,FILIPP,DANIILOVICH,1979-04-22,,,2403 465518,8872807338242594.0,SU1217,EGDMSG,Y,YSTNYE,2017-01-23,06:05, Russian Federation,Samara ,KUF,2017-01-23,06:55, Russian Federation,Moscow ,SVO,,,,, ,2PC,,,,06:05,06:55,32A,1H50M,KU,SV,True
7482,EREMEEV,TAMERLAN,STEPANOVICH,1976-07-25 00:00:00,Male,,6854 741328,3031806259140192.0,SU1603,YEHYMD,Y,YFLXBE,2017-02-19,10:50, Russian Federation,Samara ,KUF,2017-02-19,11:40, Russian Federation,Moscow,SVO,,,,, ,1PC,Delayed,,,10:50,11:40,EQV,1H50M,KU,SV,True
7661,ERMAKOV,RINAT,RODIONOVICH,,,,5827 223070,6218003817252658.0,SU1001,ZNSZBI,Y,YSTNGN,2017-06-20,09:15, Russian Federation,Kaliningrad ,KGD,2017-06-20,12:10, Russian Federation,Moscow ,SVO,,,,,RVML,0PC,,,,09:15,12:10,32A,1H55M,KGD,SV,True
7688,ERMAKOVA,SNEZHANA,DANIELEVNA,,,MRS,6544 306049,9307209695192188.0,SU1235,KDEMAN,Y,YFLXUA,2017-06-29,06:25,,UFA,UFA,2017-06-29,06:40,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
7733,ERMILOV,SERGEI,GRIGOREVICH,,,,4322 968164,5134248732136927.0,SU1107,TANICW,Y,YFLXOW,2017-09-02,20:40, Russian Federation,Krasnodar ,KRR,2017-09-02,23:05, Russian Federation,Moscow ,SVO,,,,, ,2PC,,,,20:40,23:05,32A,2H25M,KRR,SV,True
7960,EROFEEVA,VERONIKA,ADELEVNA,1971-10-25 00:00:00,Female,MRS,6079 019700,4894057462042623.0,SU1479,YOWMVA,Y,YSTNBZ,2017-01-01,09:55, Russian Federation,ABAKAN,ABA,2017-01-01,10:55, Russian Federation,Moscow,SVO,,,,, ,1PC,Registered,,,09:55,10:55,32A,5H0M,ABA,SV,True
8169,EVSEEVA,VALERIIA,ADELEVNA,1970-04-03 00:00:00,Female,MRS,7576 119508,8413571294300290.0,SU6169,MTEMGH,Y,YGRPTU,2017-07-02,00:50,,MOSCOW,SVO,2017-07-02,04:05,,Orenburg,REN,,,,,STML,1PC,Registered,,,,,,,,,True
8311,FADEEV,ROSTISLAV,GERMANOVICH,1985-05-23,,MR,1848 140582,9658086916514992.0,SU1284,WWONDV,Y,YGRPSJ,2017-06-14,05:30,,MOSCOW,SVO,2017-06-14,08:00,,KRASNODAR,KRR,,,,,FPML,1PC,,,,,,,,,,True
8368,FEDOROV,ALEKSANDR,MAKSIMOVICH,,,MR,08 1953603,8894004511592973.0,SU5612,SQHVRX,Y,YFLXVG,2017-01-26,10:55,,KHABAROVSK,KHV,2017-01-26,14:25,,MAGADAN,GDX,,,,, ,0PC,,,,,,,,,,True
8380,FEDOROV,DAVID,GERMANOVICH,1994-08-09,,MR,4193 972221,2210720819481446.0,SU1501,NGDRGD,Y,YRSTZS,2017-08-04,14:30,,TYUMEN,TJM,2017-08-04,15:25,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
8396,FEDOROV,VIACHESLAV,BORISOVICH,10/30/1985,Male,MR,0915 926763,4497173226777133.0,SU1763,BHTSCX,Y,YFLXLM,2017-01-21,05:35,,OMSK,OMS,2017-01-21,06:10,,Moscow,SVO,,,,, ,0PC,Delayed,,,,,,,,,True
8415,FEDOROVA,EVGENIIA,IVANOVNA,09/18/1991,Female,,5768 847885,2417452727389665.0,SU1433,YZKXHC,Y,YFLXXJ,2017-07-11,19:55, Russian Federation,Barnaul,BAX,2017-07-11,20:25, Russian Federation,Moscow,SVO,,,,,ORML,1PC,Delayed,,,19:55,20:25,32A,3H30M,BAX,SV,True
8494,FEDOSEEVA,NELLI,LVOVNA,1980-12-24,,MRS,15 6773512,3905462180655241.5,SU1548,VCRCSI,Y,YFLXBF,2017-05-14,20:05,,MOSCOW,SVO,2017-05-15,04:15,,NOVOSIBIRSK,OVB,,,,, ,1PC,,,,,,,,,,True
8506,FEDOSOV,ANTON,VLADISLAVOVICH,,,MR,8740 613725,2540930628852800.0,SU1501,USOUIU,Y,YGRPHD,2017-02-01,14:30,,TYUMEN,TJM,2017-02-01,15:25,,MOSCOW,SVO,,,,,NLML,2PC,,,,,,,,,,True
8654,FEDOTOV,SAVVA,STEPANOVICH,1987-07-28,,,6759 003733,124642084263703.0,SU5628,YNJWXK,Y,YSTNEP,2017-11-19,14:00, Russian Federation,Khabarovsk ,KHV,2017-11-19,16:20, Russian Federation,Yuzhno,UUS,,,,,VLML,0PC,,,,14:00,16:20,319,2H20M,KHV,UUS,True
8714,FETISOV,GERMAN,ALEKSANDROVICH,11/04/1984,Male,MR,6222 687958,9361675731916986.0,SU1531,UTZNVU,Y,YSTNXU,2017-02-22,07:55,,TOMSK,TOF,2017-02-22,08:20,,Moscow,SVO,,,,, ,0PC,None,,,,,,,,,True
8903,FILIMONOVA,ELENA,ALEKSANDROVNA,1982-06-07,,MRS,4164 129015,8686727594247518.0,SU5623,JWJUWQ,Y,YSTNHI,2017-03-11,19:25, Russian Federation,YUZHNO,UUS,2017-03-11,19:50, Russian Federation,KHABAROVSK,KHV,,,,,VGML,1PC,,,,19:25,19:50,319,0H25M,UU,KH,True
9058,FIRSOVA,ARINA,ROSTISLAVOVNA,,,MRS,6646 941047,651477492727391.0,SU6288,MCZBYV,Y,YGRPMS,2017-01-26,11:30, Russian Federation,KHABAROVSK,KHV,2017-01-26,12:40, Russian Federation,MOSCOW,SVO,,,,, ,1PC,,,,11:30,12:40,EQV,8H10M,KHV,SV,True
9069,FIRSOVA,SAMIRA,DENISOVNA,1970-04-06,,MRS,4425 565670,5346773914093854.0,SU5653,MURWKY,Y,YFLXGF,2017-05-09,00:50,,IRKUTSK,IKT,2017-05-09,06:05,,KHABAROVSK,KHV,,,,,ORML,1PC,,,,,,,,,,True
9160,FOKINA,LIANA,DAMIROVNA,,,,2467 022077,6230246601986246.0,SU5628,MZHTGO,Y,YFLXVB,2017-03-12,14:00, Russian Federation,Khabarovsk ,KHV,2017-03-12,16:20, Russian Federation,Yuzhno,UUS,,,,,RVML,1PC,,,,14:00,16:20,319,2H20M,KHV,UUS,True
9218,FOMICHEVA,GALINA,DANILOVNA,,,MRS,87 7127318,9252191288935152.0,SU1521,CEHXIQ,Y,YGRPRX,2017-01-20,17:20,,NOVYJ URENGOJ,NUX,2017-01-20,19:05,,MOSCOW,SVO,,,,,NLML,1PC,,,,,,,,,,True
9264,FOMIN,SEMEN,SVIATOGOROVICH,,Male,MR,9053 772902,4097861977397897.0,SU1109,ABCIFL,Y,YFLXDG,2017-04-04,07:30,Russian Federation,KRASNODAR,KRR,2017-04-04,09:55,Russian Federation,MOSCOW,SVO,Aeroflot Bonus,FrequentFlyer89399,Basic,SU 939442549, ,0PC,,Flight,Airlines,,,,,,,True
9299,FOMINA,OLGA,VLADEVNA,01/04/1981,Female,MRS,3757 105901,8758161678476285.0,SU1534,RCOUVH,Y,YRSTFQ,2017-02-19,14:55,,MOSCOW,SVO,2017-02-19,19:25,,Chelyabinsk,CEK,,,,,ORML,1PC,None,,,,,,,,,True
9388,FROLOVA,KIRA,VSEVOLODOVNA,,,MRS,40 9686699,3043441036224206.0,SU1501,ZWZPYH,Y,YGRPMD,2017-01-31,14:30,,TYUMEN,TJM,2017-01-31,15:25,,MOSCOW,SVO,,,,, ,0PC,,,,,,,,,,True
9480,GALKINA,KIRA,SAVVOVNA,1990-08-05,,,3591 989540,851407441151607.0,SU1547,TMHWSX,A,ASTNNE,2017-03-05,11:35, Russian Federation,Anapa ,AAQ,2017-03-05,13:50, Russian Federation,Moscow ,SVO,,,,, ,0PC,,,,11:35,13:50,32A,2H15M,AA,SV,True
9485,GALKINA,MARGARITA,ILDAROVNA,1991-09-06 00:00:00,Female,MRS,9549 277225,6362710394772758.0,SU1367,VEMMMO,Y,YRSTZE,2017-01-18,12:45,,STAVROPOL,STW,2017-01-18,15:05,,Moscow,SVO,,,,,HNML,2PC,Registered,,,,,,,,,True
9491,GALKINA,TAISIIA,VITALEVNA,1989-07-24 00:00:00,Female,MRS,6496 877933,7204752655741760.0,SU6180,OOUKQP,Y,YFLXJU,2017-03-07,11:05,,SOCHI,AER,2017-03-07,13:30,,Moscow,SVO,,,,,STML,1PC,None,,,,,,,,,True
